rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Competing primary CTAs,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero presents two equally prominent CTAs, 'SHOP MEN' and 'SHOP WOMEN', splitting user focus and delaying the primary action of exploring products.","The hero presents two equally prominent CTAs, 'SHOP MEN' and 'SHOP WOMEN', splitting user focus and delaying the primary action of exploring products.",h1: Wildly Comfortable. Super Natural.; cta: Shop All; notes: Single primary CTA 'Shop All' to reduce decision paralysis; secondary links to Men/Women can be placed in nav or below the fold.,"Hero section contains both 'SHOP MEN' and 'SHOP WOMEN' buttons with no visual hierarchy, as seen in the body_sample: 'SHOP MEN SHOP WOMEN'. | H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline explaining the brand's unique selling points.","Funnel-Path & Commerce Clarity, Message Clarity",70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_1_competing_primary_ctas.html
2,Vague hero copy,URGENT,Homepage,Low,0.5-2 days,5,10,no,conversion,"The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, causing them to rely on secondary content to understand the value proposition.","The hero headline 'Wildly Comfortable. Super Natural.' is abstract and doesn't directly address the visitor's intent to find comfortable, sustainable shoes, causing them to rely on secondary content to understand the value proposition.","h1: Shoes So Comfortable, You'll Forget They're On.; cta: Shop Men's Shoes / Shop Women's Shoes; notes: Add a subheadline: 'Made from natural materials like merino wool and eucalyptus, for all-day comfort.' This directly addresses the visitor's search for comfortable, sustainable footwear.",H1: 'Wildly Comfortable. Super Natural.' CTAs: 'SHOP MEN' and 'SHOP WOMEN' with no subheadline explaining the brand's unique selling points.,Message Clarity,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_2_vague_hero_copy.html
3,No social proof in hero,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion,"The hero lacks any trust signals (reviews, ratings, or customer count), so first-time visitors may doubt comfort claims and hesitate to click through.","The hero lacks any trust signals (reviews, ratings, or customer count), so first-time visitors may doubt comfort claims and hesitate to click through.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Add a line under the CTAs: 'Rated 4.6/5 by 100,000+ customers' or a small star rating with review count.","Hero headline: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN' but no review count, star rating, or 'Join 10M+ customers' type proof.",Trust & Objection,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_3_no_social_proof_in_hero.html
4,Free shipping threshold hidden,URGENT,Homepage,Medium,2-5 days,5,10,no,conversion|trust,"The homepage hero promotes 'Wildly Comfortable. Super Natural.' but does not mention the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap for customers who may not meet the threshold.","The homepage hero promotes 'Wildly Comfortable. Super Natural.' but does not mention the $100 free shipping threshold, which is only disclosed in the sitewide banner and cart, creating an expectation gap for customers who may not meet the threshold.",h1: Wildly Comfortable. Super Natural. Free Shipping Over $100.; cta: SHOP MEN / SHOP WOMEN; notes: Include the free shipping threshold in the hero or near CTAs to set accurate expectations.,Homepage hero copy: 'Wildly Comfortable. Super Natural.' with CTAs 'SHOP MEN' and 'SHOP WOMEN'. Sitewide banner: 'Free ground shipping on orders over $100'. Cart drawer: 'Spend more to earn free shipping! Shipping $5.00'.,Pricing Transparency,70762,283046,"2,160,000 annual visits x 2.10% conversion x 2.0-8.0% relative lift x $78 order value",118817,40,finding_4_free_shipping_threshold_hidden.html
5,Single-field email capture,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage email capture asks only for an email address, which is low-friction but lacks a value proposition or incentive, potentially reducing sign-up motivation.","The homepage email capture asks only for an email address, which is low-friction but lacks a value proposition or incentive, potentially reducing sign-up motivation.","h1: Wildly Comfortable. Super Natural.; cta: Get 10% Off Your First Order; notes: Add a clear incentive (e.g., discount) and a brief value proposition to increase sign-up conversion.","Form on homepage has 1 input, no labels, submit button 'Sign Up'.",Form / Friction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_5_single_field_email_capture.html
6,Mega-menu choice overload,HIGH,Navigation,Medium,2-5 days,5,10,no,conversion,"The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","The mega-menu presents 20+ nav items with multiple sub-levels, risking choice overload and decision paralysis for users.","h1: Wildly Comfortable. Super Natural.; cta: SHOP MEN / SHOP WOMEN; notes: Simplify mega-menu to top 5-7 categories with clear hierarchy, reduce sub-levels, and use visual hierarchy to guide users.","nav_items list includes 20 items: 'New Arrivals', 'Shop All', 'Bestsellers', 'LEATHER ALTERNATIVES', 'Men's Shoes', 'Sneakers', 'Slip Ons', 'Sandals', 'Active', 'All-Weather', 'Runner NZ', 'Cruiser', 'Tree Runner NZ', 'Socks', 'Men's Apparel', 'Women's Shoes', 'Trainers', 'Flats', 'Canvas Cruiser', 'Women's Apparel'.",Nav & Distraction,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_6_mega_menu_choice_overload.html
7,Heavy third-party script load,HIGH,Performance,Medium,2-5 days,5,10,yes,conversion,"The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","The homepage loads 63 scripts, which is the usual root cause of slow interaction readiness on mobile.","notes: Audit third-party tags, defer non-critical scripts, and remove duplicated analytics or marketing pixels.","Measured on the live homepage: 41 inline and 22 external <script> tags, 698 KB of HTML.",Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_7_heavy_third_party_script_load.html
8,Path bypass via Get Notified,HIGH,Product Page,Medium,2-5 days,4,10,no,conversion,"The product page offers a 'Get Notified' CTA for an out-of-stock item, but the page also includes a 'Learn More' CTA that may lead users away from the purchase path, creating a bypass.","The product page offers a 'Get Notified' CTA for an out-of-stock item, but the page also includes a 'Learn More' CTA that may lead users away from the purchase path, creating a bypass.",h1: Anytime Ankle Sock; cta: Get Notified; notes: Remove or de-emphasize 'Learn More' to keep focus on the primary conversion action (email capture for restock).,"CTAs list includes 'Get Notified' and 'Learn More' on the same product page, as seen in the inventory: 'ctas': ['Shop All', 'Get Notified', 'Learn More', 'Sign Up', 'Shop + -'].",Funnel-Path & Commerce Clarity,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_8_path_bypass_via_get_notified.html
9,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","41 of 79 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 41 of 79 <button> elements contain no text content and no aria-label.,Technical & Accessibility,35381,176904,"2,160,000 annual visits x 2.10% conversion x 1.0-5.0% relative lift x $78 order value",299882,100,finding_9_controls_without_accessible_names.html
10,Images missing alternative text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","3 of 43 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 3 of 43 <img> elements have no alt attribute.,Technical & Accessibility,17690,70762,"2,160,000 annual visits x 2.10% conversion x 0.5-2.0% relative lift x $78 order value",1847435,616,finding_10_images_missing_alternative_text.html
